id,winner,other player,date
0,b,a,v
1,a,b;c;d;e;,2024-05-11T18:42:38.481751606
2,1,bot;,2024-05-12T00:20:45.704034028
3,bot,1;,2024-05-12T00:20:47.734595686
4,1,bot;,2024-05-12T00:22:38.617981122
5,bot,1;,2024-05-12T01:00:32.496760339
6,2,1;3;4;5;6;,2024-05-12T01:01:29.526322129
7,2,1;3;45;56;7;8;9;,2024-05-12T01:02:34.109084626
8,2,1;3;4;5;6;7;8;,2024-05-12T01:03:19.411306676
9,1,2;,2024-05-12T01:24:14.878960729
10,1,bot;,2024-05-12T01:36:58.192054516
11,bot,1;,2024-05-12T01:36:58.495597964
12,bot,1;,2024-05-12T01:36:58.506472498
13,1,bot;,2024-05-12T01:36:58.863385329
14,1,bot;,2024-05-12T01:36:58.873997534
15,bot,1;,2024-05-12T01:36:59.230578893
16,bot,1;,2024-05-12T01:36:59.240223572
17,1,bot;,2024-05-12T01:36:59.629755325
18,1,bot;,2024-05-12T01:36:59.639656744
19,3,1;2;4;5;;,2024-05-12T02:32:13.779152044
20,,;;,2024-05-12T02:44:26.524876608
21,3,1;4;,2024-05-12T14:28:08.631575806
22,1,2;3;,2024-05-12T14:28:41.840870929
23,bot,1;,2024-05-12T14:29:09.212931843